Source,TID,TOI,ToiName,ToiName Gap,GradientBoosting,RandomForest,AdaBoost,XGBoost,LightGBM,Actual,score,gifs,nasa_url,educational_summary
TESS,233602827,1749.02,TOI-1749_b,TOI-1749 b,CANDIDATE,CONFIRMED,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.012,https://detwet.com/gifs/tess/233602827.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1749_b,"A short-period (~2.39-day) small planet (~1.39× Earth reported with ~57 M⊕ mass) around an M0V star—values that, if confirmed, imply an unusually high density. In a three-planet system with mild eccentricity (e~0.14), it’s useful for lessons on multi-planet dynamics, mass-radius outliers, and catalog cross-validation."
TESS,376524552,1811.01,TOI-1811_b,TOI-1811 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.09,https://detwet.com/gifs/tess/376524552.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1811_b,"A warm Jupiter (~0.97 MJ; ~1.00 RJ) on a ~3.71-day orbit around a K-dwarf (~4670 K; Teq ~960 K). Slight eccentricity hints at ongoing tidal evolution, making it a good case for energy dissipation, RV+transit joint fits, and irradiation differences between hot and warm Jupiters."
TESS,404505029,1842.01,TOI-1842_b,TOI-1842 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.005,https://detwet.com/gifs/tess/404505029.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-1842_b,"An inflated Saturn-mass world (~0.21 MJ; ~1.04 RJ) with a ~9.57-day year around an evolved, larger-radius star (~2.0 R☉). The low density and subgiant host enable discussions on stellar evolution changing transit depths, planetary inflation mechanisms, and irradiation histories."
TESS,27491137,2076.01,TOI-2076_b,TOI-2076 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,0.696,https://detwet.com/gifs/tess/27491137.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2076_b,"A warm sub-Neptune (~3.28× Earth) with a ~10.36-day orbit in a compact three-planet system around a K-dwarf. Its multi-planet context is ideal for TTV studies, resonance checks, and comparative planetology across siblings receiving similar but distinct irradiation."
TESS,441738827,2084.01,TOI-2084_b,TOI-2084 b,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,0.141,https://detwet.com/gifs/tess/441738827.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2084_b,"A temperate sub-Neptune (~2.47× Earth; ~6.7 M⊕) orbiting an M2 star every ~6.08 days (Teq ~530 K). Around a small, cool host, it’s well-suited for atmospheric follow-up (high transmission signal per scale height) and for illustrating habitability-adjacent regimes around red dwarfs."
TESS,235678745,2095.02,TOI-2095_b,TOI-2095 b,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.897,https://detwet.com/gifs/tess/235678745.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2095_b,"A cool, likely rocky super-Earth (~1.33× Earth; ~7.4 M⊕) with a ~28.17-day orbit (Teq ~297 K) around an M2.5V star. Its temperate irradiation and measured mass make it a standout for density/composition lessons, tidal locking expectations, and prospects for atmosphere retention around M dwarfs."
TESS,392476080,2109.01,TOI-2109_b,TOI-2109 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0,https://detwet.com/gifs/tess/392476080.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2109_b,"An extreme ultra-hot Jupiter (~5 MJ; ~1.35 RJ) racing around its star in ~0.672 days with dayside temperatures ~3600 K. It’s a benchmark for atmospheric escape, thermal dissociation, and heat-transport physics—perfect for secondary eclipses and phase-curve investigations."
TESS,88992642,2145.01,TOI-2145_b,TOI-2145 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.022,https://detwet.com/gifs/tess/88992642.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2145_b,"A massive warm Jupiter (~5.3 MJ; ~1.10 RJ) on a ~10.26-day, moderately eccentric orbit (e~0.18) around a slightly evolved F-type star. Great for exploring high-mass giant structure, tidal circularization, and how larger host-star radii influence transit observables."
TESS,395393265,2152.01,TOI-2152_b,TOI-2152 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.156,https://detwet.com/gifs/tess/395393265.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2152_b,"A hot Jupiter (~2.8 MJ; ~1.28 RJ) with a ~3.38-day orbit (Teq ~1800 K) around a hot, metal-rich star. Its high irradiation and substantial mass make it ideal for emission spectroscopy, albedo constraints, and comparing inflation levels across similarly hot giants."
TESS,198485881,2257.01,TOI-2257_b,TOI-2257 b,CANDIDATE,CONFIRMED,CONFIRMED,CONFIRMED,CANDIDATE,CONFIRMED,0.323,https://detwet.com/gifs/tess/198485881.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2257_b,"A cool, eccentric sub-Neptune (~2.19× Earth; ~6 M⊕) with a ~35.19-day period and large e (~0.5) around an M3 star. This system invites discussions of seasonal forcing on eccentric temperate worlds, transmission-spectroscopy metrics (TSM) for small cool hosts, and dynamical excitation."
TESS,24358417,2338.01,TOI-2338_b,TOI-2338 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.109,https://detwet.com/gifs/tess/24358417.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2338_b,"A highly eccentric warm Jupiter (~6 MJ; ~1.0 RJ) with P~22.65 days and e≈0.68 around a Sun-like star. Its extreme periastron passages are perfect for teaching high-e migration (e.g., Kozai–Lidov), tidal circularization, and periastron heating signatures."
TESS,149845414,2545.01,TOI-2545_b,TOI-2545 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,0.855,https://detwet.com/gifs/tess/149845414.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2545_b,"A warm sub-Neptune (~2.75× Earth; ~8.0 M⊕) on a ~7.99-day orbit (Teq ~1020 K) around a Sun-like star. With both mass and radius measured, it’s useful for density-driven interior modeling, atmospheric scale-height estimates, and the volatile-retention frontier."
TESS,348835438,2669.01,TOI-2669_b,TOI-2669 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.143,https://detwet.com/gifs/tess/348835438.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2669_b,"An extremely inflated hot-Saturn (~0.61 MJ; ~1.76 RJ) with a ~6.20-day period around an evolved star (~4.1 R☉). It’s a showcase for irradiation-driven inflation, stellar evolution effects on close-in giants, and the challenges of measuring low densities precisely."
TESS,178162579,2842.01,TOI-2842_b,TOI-2842 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.057,https://detwet.com/gifs/tess/178162579.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2842_b,A hot Saturn (~0.37 MJ; ~1.15 RJ) orbiting every ~3.55 days (Teq ~1470 K) around a slightly metal-rich G-type star. The combination of modest mass and inflated radius makes it a prime example for comparing inflation mechanisms and atmospheric detectability versus gravity.
TESS,361343239,2977.01,TOI-2977_b,TOI-2977 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.134,https://detwet.com/gifs/tess/361343239.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-2977_b,"A typical hot Jupiter (~1.7 MJ; ~1.17 RJ) with a short ~2.35-day, circular orbit (Teq ~1540 K) around a G-type star. Its clean geometry and strong irradiation are well suited for phase curves, secondary eclipses, and migration-history discussions."
TESS,458419328,3785.01,TOI-3785_b,TOI-3785 b,CANDIDATE,CONFIRMED,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.381,https://detwet.com/gifs/tess/458419328.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3785_b,"A warm Neptune (~5.14× Earth; ~15 M⊕) on a ~4.67-day orbit around an M2V star (~3580 K; Teq ~580 K). Around a small host, it’s compelling for transmission spectroscopy forecasts and for exploring how sub-Neptunes around M dwarfs differ from those around Sun-like stars."
TESS,95660472,3819.01,TOI-3819_b,TOI-3819 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,0.027,https://detwet.com/gifs/tess/95660472.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-3819_b,"A hot Jupiter (~1.11 MJ; ~1.17 RJ) with a ~3.24-day, circular orbit (Teq ~1630 K) around a slightly metal-rich star. It’s a solid case for irradiation/inflation comparisons, equilibrium-temperature calculations, and joint RV–transit characterization."
TESS,95057860,4201.01,TOI-4201_b,TOI-4201 b,CANDIDATE,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CONFIRMED,0.749,https://detwet.com/gifs/tess/95057860.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4201_b,"A rare, massive warm Jupiter (~2.48 MJ; ~1.22 RJ) orbiting an M-dwarf (~3790 K) every ~3.58 days (Teq ~725 K). Its metal-rich host ([Fe/H]~+0.52) and high planet mass enable lessons on giant-planet occurrence versus metallicity and why such heavy giants around M stars are uncommon."
TESS,144193715,4308.01,TOI-4308_b,TOI-4308 b,CANDIDATE,CANDIDATE,CANDIDATE,CONFIRMED,CANDIDATE,CONFIRMED,0.09,https://detwet.com/gifs/tess/144193715.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4308_b,"A warm sub-Neptune (~2.42× Earth; ~6.4 M⊕) with a ~9.15-day period (Teq ~760 K). With both mass and radius measured around a Sun-like/K-type host, it’s excellent for density/composition inference, atmospheric loss thresholds, and RV–transit synergies."
TESS,126606859,4479.01,TOI-4479_b,TOI-4479 b,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,CONFIRMED,0.94,https://detwet.com/gifs/tess/126606859.gif,https://eyes.nasa.gov/apps/exo/#/planet/TOI-4479_b,"An ultra-short-period sub-Neptune (~2.8× Earth; mass poorly constrained) orbiting an M3 star in ~1.16 days. Its intense irradiation and small host produce deep, frequent transits—great for illustrating USP demographics just above the rocky cutoff and the role of host type in detectability."
